,alcohol,babies,bakery,beverages,breakfast,bulk,canned goods,dairy eggs,deli,dry goods pasta,frozen,household,international,meat seafood,missing,order_id,other,pantry,personal care,pets,produce,snacks
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,827,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0
2,0,0,2,1,0,0,0,3,0,0,3,0,0,0,0,2301,0,1,0,0,9,5
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2323,0,0,0,0,2,1
4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2492,0,0,0,0,1,0
5,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2510,0,0,1,0,4,16
6,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,2557,0,3,0,0,8,5
7,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,2605,0,3,0,0,10,1
8,0,0,0,1,1,0,0,3,3,1,0,0,0,1,0,2719,0,4,0,0,7,3
9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3569,0,2,0,0,3,0
10,0,0,1,2,0,0,0,2,0,0,5,0,0,0,0,3644,0,0,0,0,4,0
11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3684,0,0,1,0,3,0
12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3754,0,2,0,0,7,1
13,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,3975,0,1,0,0,3,0
14,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4054,0,0,0,0,1,0
15,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4082,0,0,0,0,0,1
16,0,0,3,1,0,0,0,4,0,1,2,0,0,0,0,4995,0,0,0,0,10,2
17,0,0,0,5,0,0,0,7,2,0,0,0,0,1,0,5111,0,0,2,0,4,1
18,0,0,0,3,1,0,0,3,0,1,1,0,0,0,0,5304,0,2,0,0,6,1
19,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5321,0,1,0,0,8,0
20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5495,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6509,0,0,0,0,3,0
22,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,6531,0,1,0,0,1,2
23,0,0,3,0,0,0,1,3,1,1,0,0,0,1,0,6969,0,2,0,0,5,0
24,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,7060,0,0,0,0,12,1
25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7246,0,0,0,0,5,0
26,0,0,0,0,1,0,2,4,0,2,0,0,0,0,0,7705,0,1,0,0,0,0
27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7907,0,0,0,0,1,1
28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7989,0,0,0,0,5,0
29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8480,0,0,0,0,2,0
30,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,9342,0,2,0,0,4,0
31,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,9348,0,0,0,0,0,1
32,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,9760,0,0,0,0,1,1
33,0,0,0,9,0,0,0,2,0,0,0,0,2,0,0,10465,0,0,0,0,5,1
34,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,11158,0,0,0,0,1,0
35,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,11164,0,0,0,0,2,0
36,0,0,0,0,1,0,1,5,2,0,0,0,0,0,0,12302,0,0,0,0,3,1
37,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,12882,0,2,0,0,1,0
38,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13032,0,0,0,0,1,0
39,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,13089,0,0,0,0,1,0
40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13178,0,1,0,0,7,1
41,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,13346,0,4,0,0,11,0
42,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,14032,0,2,0,0,7,0
43,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,14512,0,0,0,0,2,0
44,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,15023,0,2,0,0,10,0
45,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,15898,0,1,0,0,2,0
46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16315,0,0,0,0,2,1
47,0,0,0,0,2,0,1,1,0,1,2,0,0,0,0,16339,0,0,0,0,7,2
48,0,0,1,0,1,0,0,10,2,0,1,1,0,1,1,16528,0,1,3,0,2,0
49,0,0,0,1,2,0,2,3,0,0,3,0,0,0,0,17089,0,2,0,0,2,3
50,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,17344,0,0,0,0,2,3
51,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17355,0,0,0,0,0,2
52,0,0,0,0,2,0,0,1,1,0,2,0,0,0,0,17946,0,0,0,0,1,0
53,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,18523,0,0,0,0,1,0
54,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,19379,0,0,0,0,6,2
55,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,19447,0,0,0,0,3,0
56,0,0,2,1,0,0,1,5,2,2,1,0,0,1,0,19696,0,0,0,0,11,1
57,0,0,0,0,2,0,0,7,2,0,3,0,0,1,0,20060,0,2,0,0,3,1
58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20271,0,0,0,0,0,0
59,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21364,0,1,0,0,0,0
60,0,0,0,1,0,0,0,3,0,0,1,0,0,2,0,21409,0,1,1,0,1,2
61,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,21808,0,0,0,0,0,2
62,0,0,4,1,1,0,0,4,1,0,3,0,0,2,0,21875,0,7,2,0,7,2
63,0,1,0,2,1,0,0,1,0,3,0,0,0,0,0,22313,0,1,1,0,5,0
64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22557,0,0,0,0,1,0
65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22660,0,0,0,0,0,0
66,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,22970,0,0,0,0,2,0
67,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,23410,0,0,0,0,0,0
68,0,0,0,0,2,0,3,5,0,2,1,0,0,0,0,24158,0,4,0,0,10,2
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24342,0,0,0,0,1,1
70,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,25197,0,0,0,0,0,1
71,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25282,0,1,2,0,0,0
72,0,0,0,0,0,1,0,2,0,1,0,2,0,0,0,25318,0,0,0,0,7,1
73,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,25579,0,0,0,0,0,0
74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25620,0,0,0,0,1,0
75,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,26126,0,0,0,0,4,0
76,0,0,1,3,0,0,1,4,1,0,2,0,0,0,0,26148,0,1,0,0,7,2
77,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,26175,0,1,0,0,4,0
78,0,0,1,1,0,0,1,1,0,0,0,3,0,0,0,26358,0,0,0,0,7,0
79,0,0,2,1,1,0,0,3,1,0,0,0,0,0,0,26461,0,2,0,0,12,3
80,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,26877,0,0,1,0,0,0
81,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,27221,0,1,2,0,2,0
